gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2237604814	7fd12114-9010-4c13-8f46-990fe04ca882	58-24648	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2013-05-09T00:00:00Z	9	5	2013	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-24648				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:29.484Z		
2237603221	7fd12114-9010-4c13-8f46-990fe04ca882	58-22295	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2018-05-05T00:00:00Z	5	5	2018	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-22295				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:19.626Z		
2237603069	7fd12114-9010-4c13-8f46-990fe04ca882	58-22309	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2009-04-29T00:00:00Z	29	4	2009	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-22309				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:19.033Z		
2237602741	7fd12114-9010-4c13-8f46-990fe04ca882	58-23299	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2011-05-04T00:00:00Z	4	5	2011	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-23299				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:18.197Z		
2237602628	7fd12114-9010-4c13-8f46-990fe04ca882	58-23475	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2008-04-22T00:00:00Z	22	4	2008	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-23475				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:18.047Z		
2237602174	7fd12114-9010-4c13-8f46-990fe04ca882	58-22450	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2018-04-28T00:00:00Z	28	4	2018	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-22450				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:17.221Z		
2237601949	7fd12114-9010-4c13-8f46-990fe04ca882	58-23478	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									1977-04-17T00:00:00Z	17	4	1977	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-23478				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:16.936Z		
2237601851	7fd12114-9010-4c13-8f46-990fe04ca882	58-22950	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2010-05-04T00:00:00Z	4	5	2010	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-22950				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:16.504Z		
2237601677	7fd12114-9010-4c13-8f46-990fe04ca882	58-23130	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2009-05-06T00:00:00Z	6	5	2009	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-23130				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:16.137Z		
2237601646	7fd12114-9010-4c13-8f46-990fe04ca882	58-23059	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2006-05-04T00:00:00Z	4	5	2006	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-23059				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:16.441Z		
2237601628	7fd12114-9010-4c13-8f46-990fe04ca882	58-23061	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2009-05-15T00:00:00Z	15	5	2009	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-23061				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:16.463Z		
